manu_id,manu_sku,product_name,,prod_page_url
3,EPB-20S5,Sleek Design - 2000mAh Aluminum Power Bank,,https://www.arielpremium.com/product/EPB-20S5
3,WTV-AW15,Active Wear Bluetooth Headphones,,https://www.arielpremium.com/product/WTV-AW15
3,WLT-TL16,Twist It USB LED Light,,https://www.arielpremium.com/product/WLT-TL16
3,ETC-06R5,TEC Computer Accessory Organizer - Small,,https://www.arielpremium.com/product/ETC-06R5
3,ETC-09D5,TEC Medium Computer Drive and Accessory Organizer,,https://www.arielpremium.com/product/ETC-09D5
3,ESP-MR17,Upbeat Mini Mushroom Wireless Speaker,,https://www.arielpremium.com/product/ESP-MR17
3,ESP-MC16,Wireless Mini Cube Speaker with Selfie Button & Microphone,,https://www.arielpremium.com/product/ESP-MC16
3,EPB-30T7,Trim 3000mAh Power Bank,,https://www.arielpremium.com/product/EPB-30T7
3,EPB-80F5,Fast & Smart IC - 8000mAh Power Bank with 1 USB,,https://www.arielpremium.com/product/EPB-80F5
3,WCP-MF15,AC-to-USB Multifunction 9000mAh Power Bank,,https://www.arielpremium.com/product/WCP-MF15
3,ETC-11S5,"TEC 11.6 Tablet Sleeve""",,https://www.arielpremium.com/product/ETC-11S5
3,WTV-AA10,AA Battery Clear Case,,https://www.arielpremium.com/product/WTV-AA10
3,WCP-HP12,Microfiber Cloth Phone Holder,,https://www.arielpremium.com/product/WCP-HP12
3,ETC-07S5,"TEC 7 Tablet Sleeve""",,https://www.arielpremium.com/product/ETC-07S5
3,ETC-08S5,"TEC 8 Tablet Sleeve""",,https://www.arielpremium.com/product/ETC-08S5
3,WTV-MF16,Moji Foldable Headphones with Microphone,,https://www.arielpremium.com/product/WTV-MF16
3,EPB-CP18,Chamber 2200mAh Power Bank,,https://www.arielpremium.com/product/EPB-CP18
3,ETC-07C5,TEC Medium Cable Organizer,,https://www.arielpremium.com/product/ETC-07C5
3,WCP-BB17,USBreeze Bendy Desk Fan,,https://www.arielpremium.com/product/WCP-BB17
3,WTV-ES15,Easy Store Earbuds,,https://www.arielpremium.com/product/WTV-ES15
3,ESP-BC18,Bayou 14 oz Combo Water Bottle & Wireless Speaker,,https://www.arielpremium.com/product/ESP-BC18
3,WTV-LB15,Little Buddy Earbud Gift Set,,https://www.arielpremium.com/product/WTV-LB15
3,EPB-22E7,Easy Grip 2200mAh Power Bank,,https://www.arielpremium.com/product/EPB-22E7
